First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 19:56:59,cc:06:77:b3:d8:40,Baro family,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-83,5,14.70404022,121.09809947
2018-05-15 19:56:59,bc:3d:85:d5:c9:65,HUAWEI-C965,[WPA2-PSK-CCMP][ESS],-77,1,14.70404022,121.09809947
2018-05-15 19:56:59,88:d2:74:86:b8:32,bayanDSLWIFI_B832,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-88,11,14.70404022,121.09809947
2018-05-15 19:57:16,64:16:f0:b4:7f:70,GlobeTattoo,[WPA2-PSK-TKIP][ESS],-76,6,14.70445514,121.09820879
2018-05-15 19:56:59,cc:06:77:e2:7d:7c,PLDTHOMEFIBR5G27d78,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-77,36,14.70404022,121.09809947
2018-05-15 19:56:59,e0:8e:3c:1a:8d:1f,your neighbor's wifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-79,1,14.70404022,121.09809947
2018-05-15 19:57:16,cc:06:77:e2:7d:78,PLDTHOMEFIBR27d78,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-82,11,14.70445514,121.09820879
2018-05-15 19:56:59,cc:06:77:e4:66:c0,PLDTHOMEFIBR466c0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-84,1,14.70404022,121.09809947
2018-05-15 19:57:16,cc:06:77:e2:7a:68,PLDTHOMEFIBR27a68,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-71,1,14.70445514,121.09820879
2018-05-15 19:56:59,cc:06:77:e2:7a:6c,PLDTHOMEFIBR5G27a68,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-87,36,14.70404022,121.09809947
2018-05-15 19:56:59,9e:30:5b:36:fe:07,DIRECT-CG-BRAVIA,[WPA2-PSK-CCMP][WPS][ESS][P2P],-84,1,14.70404022,121.09809947
2018-05-15 19:57:35,70:9f:2d:a0:88:b0,jebolution,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],-87,6,14.70514535,121.09838416
