Common,1
BSSID,SSID,Wigle-Encryption,Site-Encryption,Last Update
24:a4:3c:78:c6:4c,Annex2,[WPA2-PSK-CCMP][ESS],unknown,"2016-05-05, 06:00:00 PM"
 
Wigle Unique,274
BSSID,SSID,Wigle-Encryption,Wigle-Channel
90:61:0c:0d:99:db,PLDTMyDSL,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],11
f2:98:38:3d:ac:a9,159,[WPA-PSK-CCMP+TKIP][ESS],7
5c:54:6d:43:e1:c8,HUAWEI-GKUp,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
1c:74:0d:18:d3:68,PLDTHOMEDSL8NTZM,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],8
b0:b2:dc:f9:e9:2c,PLDTMyDSL,[WPA2-PSK-CCMP][WPS][ESS],11
00:26:75:e7:7d:5c,ayende_family,[WPA-PSK-CCMP+TKIP][ESS],10
4c:54:99:11:2f:ae,B200W,[WEP][ESS],6
be:44:34:fa:0f:b4,Thrill Access,[WPA2-PSK-CCMP][WPS][ESS],11
90:61:0c:3a:50:c2,PLDTHOMEDSL20674,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
78:c1:a7:22:f1:32,CloudCityPortal,[WPA2-PSK-CCMP+TKIP][WPS][ESS],3
44:6e:e5:07:fc:99,B315_7FC99,[WPA2-PSK-CCMP][ESS],11
18:de:d7:34:25:7c,HUAWEI-4Dc3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
f0:98:38:07:d6:2c,JV,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],6
94:46:96:1f:88:b7,PLDTHOMEDSLRoma1616,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
e0:8e:3c:22:3c:c3,SDDR2017,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],2
18:de:d7:34:71:30,SANTIAGO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
94:46:96:18:a1:95,PLDTHOMEDSLXPXP0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
d4:40:f0:34:b4:d8,VIRUS,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],8
f2:81:7a:6e:2b:a6,April Sharron?s iPhone,[WPA2-PSK-CCMP][ESS],1
9c:6f:52:19:93:77,,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],11
90:61:0c:3a:42:26,No Internet,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
88:3f:d3:2c:44:d4,cristina24,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
60:a4:4c:56:a7:f4,ASUS,[WPA2-PSK-CCMP][WPS][ESS],9
9c:6f:52:1c:cd:9f,ZTEH108N_CCD9F,[WPA-PSK-CCMP+TKIP][WPS][ESS],11
88:d2:74:86:ab:85,bayanDSLWIFI_AB85,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
90:61:0c:40:ce:47,prettyinpink1208,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
78:c1:a7:02:93:a0,pretty in pink,[WPA-PSK-CCMP+TKIP][ESS],11
51502_30229_210031199,Globe,HSPA;ph,0
94:46:96:0f:89:2f,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],1
a8:a6:68:e0:2a:3c,FREE WIFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
fc:b4:e6:4a:d1:90,SKYbroadbandFCB8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6
cc:06:77:e1:4e:d0,PLDTHOMEFIBR14ed0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],5
00:13:33:de:c4:6d,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
c4:86:e9:a8:db:a2,escamillas family,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],8
88:d2:74:86:ae:0a,Paparudzwifi,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],9
f4:9e:ef:d1:67:f0,PLDTHOMEDSL167F0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],5
00:13:33:e1:9a:3a,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
cc:06:77:5c:8b:50,PLDTHOMEFIBRc8b50,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],5
cc:06:77:b4:38:fc,PLDTHOMEFIBRRAMOS5G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],36
cc:06:77:b4:38:f8,PLDTHOMEFIBRRAMOS2.4G,[WPA-PSK-TKIP][WPA2-PSK-CCMP][WPS][ESS],1
d4:6e:0e:d4:6a:5c,PLDTHOMEDSL57753_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],7
d4:6e:0e:d4:6a:5e,PLDTHOMEDSL57753,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],40
90:61:0c:2c:e1:99,PLDTHOMEDSL57753,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],7
9c:a9:e4:93:5c:4c,no net,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],11
94:46:96:15:54:27,PLDTHOMEDSL6S6N0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],5
00:0e:f4:db:e1:71,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11
d4:6e:0e:bd:1c:54,REDCIRCLE,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],6
78:44:76:c8:1b:e8,TPLINK,[WPA2-PSK-CCMP][ESS],6
78:54:2e:59:49:a8,dlink,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],1
76:4a:a4:ce:13:f0,Smart Bro_CE13F0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],6
51502_30229_210031197,Globe,HSPA;ph,0
 
Wigle Site Unique,690
BSSID,SSID,Site-Encryption,Last Update
00:13:33:F5:B0:26,None,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D6:5E:D9,None,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D8:37:BD,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E4:2E:BC,PLDTHOMEDSL_JK_ENERGIES,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:DC:E1:D7,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:DE:C1:61,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E9:59:75,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:EF:5B:E6,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D3:C2:F5,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:14:BF:BB:DB:1F,smartbrowifi,none,"2013-04-25, 05:00:00 AM"
00:13:33:FB:05:CE,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:0E:F4:DA:87:A9,PLDTHOMEDSL,wpa2,"2015-07-26, 08:00:00 AM"
00:0F:01:1B:23:A6,ZIANE,wpa2,"2015-07-26, 08:00:00 AM"
00:0E:F4:D9:DF:F4,PLDTHOMEDSL,wpa2,"2015-07-26, 08:00:00 AM"
00:13:33:BF:5B:71,PLDTHOMEDSLNoWifiHere,wpa2,"2016-03-16, 06:00:00 AM"
00:13:33:FD:C7:5A,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:F5:91:89,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:F7:A5:3C,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D9:9E:D7,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E3:A8:98,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E8:D4:7D,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:C2:48:28,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:F5:90:85,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E1:F8:D6,PLDTHOMEDSLflhcordovez,wpa2,"2016-03-16, 06:00:00 AM"
00:13:33:EE:91:0C,PLDTHOMEDSLPGMPCNET,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:F0:F1:B3,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E6:4C:62,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:DB:21:85,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:EB:5B:CB,PLDTHOMEDSL_JK_BUILDERS,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D3:C7:37,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:F5:F7:2D,PLDTHOMEDSL_STRIDE,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:DC:E1:E1,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:DF:A5:A4,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E5:2A:E2,PLDTHOMEDSLEXPRESSPAY,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D7:81:B5,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:0E:2E:FB:69:FF,default,none,"2013-04-17, 03:00:00 AM"
00:13:33:C6:81:E3,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:C0:93:97,PLDTHOMEDSL_Dentacare,wpa2,"2016-12-20, 06:00:00 AM"
00:13:33:FC:E7:40,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:FD:B8:64,PLDTHOMEDSLEIGENTECHCORP,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:F0:82:AA,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E7:03:41,PLDTHOMEDSL,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:E9:A6:23,PLDTHOMEDSLBizwise,wpa2,"2016-05-05, 06:00:00 PM"
00:13:33:D3:C8:7C,None,wpa2,"2016-05-05, 06:00:00 PM"
00:18:25:05:ED:90,PLDT Smart WiFi Zone,unknown,"2015-07-26, 08:00:00 AM"
00:18:25:03:83:90,PLDT Smart WiFi Zone,none,"2015-07-26, 08:00:00 AM"
00:18:25:03:8C:D0,PLDT Smart WiFi Zone,none,"2013-04-17, 03:00:00 AM"
00:1A:EF:26:B6:B6,GOJJLC2,wpa,"2013-05-07, 12:00:00 PM"
00:1A:EF:2A:36:EB,EI 3rd Flr,wpa2,"2015-07-26, 08:00:00 AM"
00:1A:EF:2E:50:BC,live wire,wpa2,"2013-04-25, 05:00:00 AM"
00:18:25:05:ED:94,PLDTSMART,wpa2,"2015-07-26, 08:00:00 AM"
00:18:39:2B:89:6A,Trojan,unknown,"2011-06-15, 06:00:00 AM"
00:18:39:60:10:69,Janice Wi-Fi 1,none,"2013-05-06, 03:00:00 PM"
00:18:E7:FD:D4:3E,DREVA,wpa2,"2013-04-17, 03:00:00 AM"
00:18:E7:F6:14:0E,Creative Learning Center Edufi,wpa,"2013-05-06, 03:00:00 PM"
00:1E:2A:52:31:10,VIRUS!! detected!! Wifi,wpa2,"2013-04-17, 03:00:00 AM"
00:1A:EF:29:FC:68,GOD IS GOOD,wpa2,"2015-07-26, 08:00:00 AM"
00:15:70:03:37:70,tsunami,none,"2015-07-26, 08:00:00 AM"
00:15:70:03:50:70,tsunami,unknown,"2015-07-26, 08:00:00 AM"
00:18:25:05:87:50,PLDT Smart WiFi Zone,unknown,"2015-07-26, 08:00:00 AM"
00:18:25:03:83:94,PLDTSMART,wpa2,"2015-07-26, 08:00:00 AM"
00:1E:2A:FF:F8:70,net_elsie,wpa2,"2016-05-05, 06:00:00 PM"
00:18:25:03:D5:54,PLDTSMART,wpa2,"2015-07-26, 08:00:00 AM"
00:1C:10:C0:D5:DB,Lorenzana Network,wpa,"2015-07-26, 08:00:00 AM"
00:1E:C2:F6:6B:C7,Jay's Wi-Fi Network,wpa2,"2016-05-05, 06:00:00 PM"
00:1A:EF:26:B6:9B,GOJJLC1,wpa2,"2013-04-17, 03:00:00 AM"
00:1A:EF:2E:99:FB,CD-R_KING_11n,wpa2,"2013-04-25, 05:00:00 AM"
00:23:69:38:6B:06,ACLC Commonwealth Campus,wpa2,"2013-05-07, 12:00:00 PM"
00:23:69:8B:94:18,HNSED052014,wpa2,"2016-05-05, 06:00:00 PM"
00:1F:41:28:E2:F9,SM_Free_WiFi,none,"2017-03-06, 02:00:00 AM"
00:22:B0:42:9B:41,Omni Tire Center WiFi Main,wpa2,"2013-05-07, 12:00:00 PM"
00:23:69:C3:C6:BC,Retail-Design,wpa2,"2016-05-05, 06:00:00 PM"
00:22:6B:69:CF:1C,HNMKTEXT,wpa2,"2015-07-26, 08:00:00 AM"
00:22:6B:52:63:72,kia diliman,wpa,"2013-04-25, 05:00:00 AM"
00:23:69:29:8B:E5,spearacesolutions,wpa,"2013-04-25, 05:00:00 AM"
00:1F:FB:59:3D:03,bugywifi,wpa2,"2015-07-26, 08:00:00 AM"
00:22:B0:44:52:B5,Telkomserv,wpa2,"2013-05-06, 03:00:00 PM"
00:26:75:D9:07:70,ORLITA,wpa,"2015-07-26, 08:00:00 AM"
00:24:01:DE:6F:7D,dlink,wep,"2013-04-25, 05:00:00 AM"
00:1E:E5:61:45:CD,linksys,none,"2013-04-17, 03:00:00 AM"
00:25:9C:F1:F2:26,TINMARK,wpa2,"2015-07-26, 08:00:00 AM"
08:FD:0E:75:AA:13,Bhqn-a2F6ZWx5bnZhbGVuY2lh,unknown,"2015-07-26, 08:00:00 AM"
00:24:01:5E:87:0A,dlink,wep,"2013-04-25, 05:00:00 AM"
00:24:01:5E:87:E2,dlinkECE,wpa,"2013-04-25, 05:00:00 AM"
00:24:01:AD:5B:19,riteproducts,wpa2,"2016-05-05, 06:00:00 PM"
24:DF:6A:6C:FB:8A,HUAWEI-E5330-FB8A,wpa2,"2016-05-05, 06:00:00 PM"
08:86:3B:30:AE:88,belkin.e88,wpa2,"2015-07-26, 08:00:00 AM"
24:DF:6A:C0:DF:D3,HUAWEI-E5330-DFD3,wpa2,"2016-05-05, 06:00:00 PM"
0C:37:DC:1D:18:F8,SMART BRO_d18f8,wep,"2013-04-17, 03:00:00 AM"
0C:37:DC:9F:2F:1A,password error18,wpa2,"2015-07-26, 08:00:00 AM"
0C:37:DC:CD:C3:11,ERIANNE,wpa2,"2015-07-26, 08:00:00 AM"
08:63:61:CD:CA:D6,expendables,wpa2,"2015-07-26, 08:00:00 AM"
00:26:5A:25:4C:54,Jollibee-Shopwise,wpa2,"2015-07-26, 08:00:00 AM"
00:26:5A:43:D8:2A,phil agrow,wpa2,"2013-04-17, 03:00:00 AM"
20:F3:A3:8C:C6:A3,GL01P-20F3A38CC6A3,wpa2,"2013-04-17, 03:00:00 AM"
02:0A:00:C4:DB:25,katangahan999,wpa2,"2015-09-20, 08:00:00 AM"
20:AA:4B:05:58:E0,ecosys 2,wpa2,"2013-04-17, 03:00:00 AM"
04:02:1F:4E:56:2B,B315_E562B,wpa2,"2016-05-05, 06:00:00 PM"
04:18:D6:94:6D:4B,LoyolaRelay,wpa2,"2016-05-05, 06:00:00 PM"
32:CD:A7:2F:5C:14,DIRECT-eeC410 Series,wpa2,"2016-05-05, 06:00:00 PM"
2E:26:55:68:FC:F4,hpsetup,none,"2013-11-30, 07:00:00 AM"
00:27:19:D2:48:56,linksys,wpa2,"2013-04-17, 03:00:00 AM"
06:27:22:5B:BE:E7,loyolacares,none,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:15:A0,awn_inside,wpa2,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:42:C3,awn_guest,unknown,"2015-07-26, 08:00:00 AM"
34:A8:4E:1E:48:E4,awn_cafe,wpa2,"2015-07-26, 08:00:00 AM"
34:A8:4E:80:A6:A0,awn_inside,wpa2,"2016-05-05, 06:00:00 PM"
34:A8:4E:80:A6:A4,awn_cafe,wpa2,"2016-05-05, 06:00:00 PM"
34:A8:4E:80:A6:AC,awn_guest,unknown,"2016-05-05, 06:00:00 PM"
02:23:B1:5F:69:4C,....bobby....,wpa,"2013-05-07, 12:00:00 PM"
34:A8:4E:D2:4F:43,awn_guest,unknown,"2016-05-05, 06:00:00 PM"
24:1F:A0:4E:7A:AC,HUAWEI-E5330-7AAC,wpa2,"2016-05-05, 06:00:00 PM"
02:0C:E7:90:3C:76,chester,wpa2,"2015-07-26, 08:00:00 AM"
02:11:87:D5:92:16,Free Public WiFi,none,"2013-04-17, 03:00:00 AM"
22:26:B6:C8:3B:B5,BeruBeru,wpa2,"2013-04-25, 05:00:00 AM"
10:D3:8A:20:60:10,adie,wpa2,"2016-05-05, 06:00:00 PM"
0C:37:DC:4F:4B:43,MobileWiFi-4b43,wpa2,"2013-05-07, 12:00:00 PM"
0C:37:DC:29:04:6A,MobileWiFi-046a,wpa2,"2013-05-06, 03:00:00 PM"
0C:37:DC:C6:BE:25,SMART BRO_6BE25,wep,"2013-04-17, 03:00:00 AM"
00:26:75:82:E0:C9,Aztech5001_initAzt,wpa,"2013-05-06, 03:00:00 PM"
00:26:75:DF:AC:A0,Aztech5018_FACA3,wpa,"2015-07-26, 08:00:00 AM"
00:D0:41:D6:D1:C3,SAPIDO-URVAN VS1451,wep,"2015-07-26, 08:00:00 AM"
20:08:ED:AE:D6:C7,HUAWEI-E5330-D6C7,wpa2,"2015-07-26, 08:00:00 AM"
20:AA:4B:B3:A2:49,Ford Commonwealth,wpa2,"2016-05-05, 06:00:00 PM"
20:AA:4B:D3:58:76,BRAVO MEDIA,wpa2,"2016-05-05, 06:00:00 PM"
20:AA:4B:8B:25:E4,FCM Internal,wpa2,"2015-07-26, 08:00:00 AM"
20:AA:4B:82:2B:A3,HNMKTG_2,wpa2,"2016-05-05, 06:00:00 PM"
20:C9:D0:21:FE:B5,AFNI Conference Room,wpa2,"2013-04-17, 03:00:00 AM"
10:BF:48:3A:95:68,ECCONF,wpa2,"2013-05-07, 12:00:00 PM"
10:C6:1F:EB:B9:04,MobileWiFi-b904,wpa2,"2015-07-26, 08:00:00 AM"
10:FE:ED:40:43:CA,Engr. SARIP,wpa2,"2015-07-26, 08:00:00 AM"
24:DF:6A:14:99:0B,HUAWEI DE GUZMAN,wpa2,"2017-01-07, 11:00:00 PM"
24:DB:AC:B0:B5:0F,MobileWiFi-b50f,wpa2,"2013-05-06, 03:00:00 PM"
0C:37:DC:9E:09:37,PSSST,wep,"2013-04-17, 03:00:00 AM"
0C:37:DC:5C:EB:C3,Mayette WIFI,wpa2,"2013-05-07, 12:00:00 PM"
0C:37:DC:28:41:C3,Nancy,wpa2,"2013-05-07, 12:00:00 PM"
08:D8:33:C7:6A:08,Mitsubishi Wireless TV 496,unknown,"2016-05-05, 06:00:00 PM"
28:10:7B:CD:D5:00,commonwealthtspi,wpa2,"2013-04-25, 05:00:00 AM"
28:10:7B:CD:D6:3A,glassplanet,wpa2,"2013-04-17, 03:00:00 AM"
1C:7E:E5:D4:91:9E,instyle,wpa2,"2013-05-07, 12:00:00 PM"
0C:37:DC:4C:A1:6E,password error3,wpa2,"2013-05-07, 12:00:00 PM"
2C:5D:93:59:07:68,tsunami,unknown,"2016-05-05, 06:00:00 PM"
24:DB:AC:1B:56:48,jared,wep,"2013-04-25, 05:00:00 AM"
20:08:ED:E8:D1:7E,B593_8D17E,wpa2,"2015-07-26, 08:00:00 AM"
20:54:76:2D:9B:D1,JSJR,wpa2,"2013-05-07, 12:00:00 PM"
28:9A:FA:33:BC:17,zuzuaregui,wpa2,"2016-05-05, 06:00:00 PM"
14:CF:92:B0:5B:29,TP-LINK_M5_B05B29,wpa2,"2013-10-02, 04:00:00 AM"
24:DB:AC:2E:11:1A,edwin cabrera,wpa2,"2015-07-26, 08:00:00 AM"
34:4B:50:48:EA:5A,PLDTMyDSLsavemore,wpa2,"2013-04-17, 03:00:00 AM"
34:A8:4E:1E:15:A4,awn_cafe,wpa2,"2016-05-05, 06:00:00 PM"
20:54:76:23:8C:AB,XPERIA U_3743,wpa2,"2016-05-05, 06:00:00 PM"
30:76:6F:D7:C2:71,Jheng's Hotspot,wpa2,"2015-07-26, 08:00:00 AM"
32:14:4A:F1:F4:0F,MMDA_MESH2,none,"2016-05-05, 06:00:00 PM"
20:AA:4B:67:05:81,Comp Lab 3,wpa2,"2016-07-19, 02:00:00 AM"
20:AA:4B:D3:58:77,BRAVO MEDIA-guest,none,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:48:E2,awn_voip,wpa2,"2015-07-26, 08:00:00 AM"
34:A8:4E:1E:5A:F0,awn_inside,wpa2,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:5A:F2,awn_voip,wpa2,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:5A:F3,awn_guest,wpa2,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:5A:F4,awn_cafe,wpa2,"2016-05-05, 06:00:00 PM"
1C:BD:B9:B2:09:12,generika,wpa2,"2013-05-07, 12:00:00 PM"
34:A8:4E:D2:4F:40,awn_inside,wpa2,"2016-05-05, 06:00:00 PM"
34:BF:90:35:2A:F8,PLDTHOMEFIBR_352af8,wpa2,"2015-07-26, 08:00:00 AM"
4C:09:B4:A3:39:71,PETRON,wpa,"2015-07-26, 08:00:00 AM"
B4:5D:50:46:BB:90,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BB:B1,@AyalaMalls_GoWiFi,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BD:47,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BE:30,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BE:33,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:C4:26,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:C4:36,@GoWiFi_Auto,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:C4:37,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:38:57:E6,YTFanfest,wpa2,"2017-06-09, 01:00:00 PM"
B4:5D:50:38:57:F2,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BB:95,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BB:96,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BB:B2,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BD:42,@AyalaMalls_GoWiFi,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BD:45,@GoWiFi_Auto,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:46:BE:34,@GoWiFi_Auto,unknown,"2017-06-09, 01:00:00 PM"
B4:75:0E:19:F5:3E,GKImktg01,wpa2,"2016-05-05, 06:00:00 PM"
2C:26:C5:16:FE:18,bayanDSL,wpa,"2013-05-06, 03:00:00 PM"
2C:33:7A:0D:02:A7,LDC_SAP_Lenovo-PC,wpa2,"2016-05-05, 06:00:00 PM"
24:05:0F:19:5A:73,CDRKing_5A73,wpa2,"2016-05-05, 06:00:00 PM"
C0:C1:C0:E9:A2:08,4th floor-guest,none,"2013-04-17, 03:00:00 AM"
C0:C1:C0:A1:33:33,None,wpa2,"2015-07-26, 08:00:00 AM"
28:10:7B:CD:DD:20,PARESCOM,wpa2,"2016-05-05, 06:00:00 PM"
44:D9:E7:6A:51:81,ubnt,unknown,"2016-05-05, 06:00:00 PM"
B4:5D:50:38:57:F1,@AyalaMalls_GoWiFi,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:38:57:F3,None,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:38:57:F4,@GoWiFi_Auto,unknown,"2017-06-09, 01:00:00 PM"
B4:5D:50:38:6D:60,None,unknown,"2017-06-09, 01:00:00 PM"
44:AD:D9:70:DA:B2,PROGRAMMERS,wpa2,"2013-08-10, 08:00:00 AM"
44:AD:D9:70:E0:50,SLMC WiFi,none,"2013-08-10, 08:00:00 AM"
34:A8:4E:80:A6:A3,awn_guest,unknown,"2016-05-05, 06:00:00 PM"
34:A8:4E:1E:48:E0,awn_inside,wpa2,"2015-07-26, 08:00:00 AM"
34:A8:4E:1E:48:E3,awn_guest,wpa2,"2015-07-26, 08:00:00 AM"
C8:7B:5B:86:EA:CD,Smart Bro_86EACD,wpa2,"2013-04-17, 03:00:00 AM"
46:91:DB:00:EB:41,A1-713,wpa2,"2015-08-12, 03:00:00 PM"
C4:71:FE:DC:E4:E2,wi-tribe_USERS,wpa2,"2013-04-17, 03:00:00 AM"
C0:BD:D1:52:92:88,B21y-ZmxvcmRlbGl6YWpkZWx1bmE,wpa2,"2016-02-27, 03:00:00 PM"
5A:6D:8F:83:C9:46,ECSCI Internet portal,wpa2,"2016-05-05, 06:00:00 PM"
B0:B2:DC:AB:B5:04,PLDTMyDSL,wpa2,"2013-05-07, 12:00:00 PM"
38:AA:3C:8A:62:A8,Doritos Locos Tacos,wpa2,"2015-07-26, 08:00:00 AM"
5C:50:15:E6:3E:60,awn_inside,wpa2,"2016-05-05, 06:00:00 PM"
C8:D7:19:E6:AA:29,Cisco40510,wpa2,"2016-05-05, 06:00:00 PM"
2C:5D:93:19:07:68,rsci,unknown,"2016-05-05, 06:00:00 PM"
CC:5D:4E:F2:40:B8,PLDTMyDSL,wpa2,"2015-07-26, 08:00:00 AM"
C0:4A:00:4C:E3:5E,TP-LINK_4CE35E,wpa2,"2015-07-26, 08:00:00 AM"
C4:6E:1F:92:60:2A,None,wpa2,"2016-05-05, 06:00:00 PM"
C4:6E:1F:92:6C:AE,None,wpa2,"2016-05-05, 06:00:00 PM"
C4:71:FE:DC:E4:E1,wi-tribe-exec,wep,"2015-07-26, 08:00:00 AM"
F0:84:C9:D0:29:CA,MEDELSKI,wpa2,"2016-05-05, 06:00:00 PM"
54:3D:37:9D:0E:99,InternalWS,wpa2,"2015-07-26, 08:00:00 AM"
70:9F:2D:A1:30:A0,bayanDSLWiFi_30A0,wpa2,"2016-05-05, 06:00:00 PM"
48:F8:B3:23:77:C6,Records-guest,none,"2017-03-06, 02:00:00 AM"
48:F8:B3:23:A3:85,Director's Office,wpa2,"2015-07-26, 08:00:00 AM"
60:21:C0:5E:6B:ED,AndroidAP,wpa2,"2013-05-07, 12:00:00 PM"
4C:09:B4:A6:D5:0B,bayanDSL,wpa,"2013-05-06, 03:00:00 PM"
6E:94:F8:C1:B3:24,AXA PHIL,wpa2,"2016-05-05, 06:00:00 PM"
6A:E9:F1:90:35:6B,Alexander A. Ramos?s iPhone,wpa2,"2015-07-26, 08:00:00 AM"
