Total APs,1157
PLDT,293
BSSID,SSID,Encryption,Channel
90:61:0c:0d:93:10,PLDTMyDSLTE,WPA2/WPA,11
90:61:0c:2e:a2:c5,PLDTHOMEDSL41669,WPA2/WPA,1
00:13:33:fe:77:31,PLDTHOMEDSL,WPA2/WPA,1
00:13:33:f5:8f:18,PLDTHOMEDSL09968084405,WPA2/WPA,2
90:61:0c:35:df:c1,PLDTHOMEDSL57281,WPA2/WPA,1
90:61:0c:41:05:8c,PLDTHOMEDSL01420,WPA2/WPA,7
4c:81:20:f3:92:5b,PLDTHOMEDSL3925B,WPA2,8
f4:9e:ef:d1:1e:d0,PLDTHOMEDSLMIRALLES,WPA2,11
00:13:33:e7:bf:1b,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:35:ee:8f,PLDTHOMEDSL_Yeoboseyo,WPA2/WPA,11
90:61:0c:3a:47:39,PLDTHOMEDSL18233,WPA2/WPA,11
00:13:33:c6:1d:ca,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:35:ef:52,PLDTHOMEDSL61266,WPA2/WPA,1
90:61:0c:39:f9:bb,PLDTHOMEDSL63931,WPA2/WPA,1
00:13:33:f6:1c:4e,PLDTHOMEDSL_BOY3T,WPA2/WPA,1
c4:e9:84:66:f9:36,PLDTHOMEDSL,WPA2,2
00:13:33:f4:e9:05,PLDTHOMEDSL,WPA2/WPA,9
00:13:33:d2:2f:df,PLDTHOMEDSL_56,WPA2/WPA,11
90:61:0c:11:e9:27,PLDTMyDSL,WPA2/WPA,11
00:13:33:f7:a0:d2,PLDTHOMEDSL-angelica,WPA2/WPA,1
90:61:0c:35:bb:f0,PLDTHOMEDSLWALANGLIBRE,WPA2/WPA,1
94:46:96:1d:32:dd,PLDTHOMEDSLMQMQ0,WPA2/WPA,5
f4:9e:ef:d1:22:9c,PLDTHOMEDSLMarkz,WPA2,5
94:46:96:1d:02:d6,PLDTHOMEDSLSFSK0,WPA2/WPA,5
00:13:33:f5:8f:27,PLDTHOMEDSL,WPA2/WPA,9
00:13:33:f9:ee:5f,PLDTHOMEDSL,WPA2/WPA,11
90:61:0c:2e:42:a2,PLDTHOMEDSL17058,WPA2/WPA,1
00:13:33:fc:e9:f7,PLDTHOMEDSL,WPA2/WPA,3
1c:74:0d:1a:af:88,PLDTHOMEDSL38PYE,WPA2/WPA,7
90:61:0c:35:4a:77,PLDTHOMEDSL19063,WPA2/WPA,11
4c:81:20:92:d2:aa,PLDTHOMEDSL2D2AA,WPA2,10
90:61:0c:3a:b1:2e,PLDTHOMEDSL45358,WPA2/WPA,11
90:61:0c:3a:48:73,PLDTHOMEDSL18547,WPA2/WPA,1
94:46:96:1f:6f:49,PLDTHOMEDSLH3HC0,WPA2/WPA,1
00:13:33:db:08:e4,PLDTHOMEDSLDefault,WPA,2
