WigleWifi-1.4,appRelease=2.25,model=LG-H990,release=7.0,device=elsa,display=NRD90M,board=msm8996,brand=lge,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
aa:a6:68:68:98:c6,Smart Bro_6898C6,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:05,1,-88,14.65920971,121.067651,112,4.550999641,WIFI
74:cc:39:8b:b8:28,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:06,6,-74,14.65921916,121.0675922,111,4.550999641,WIFI
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],10/28/2017 13:06,6,-80,14.65921916,121.0675922,111,4.550999641,WIFI
51502_30232_210465481,Globe,HSPA;ph,10/28/2017 13:06,0,-97,14.65921916,121.0675922,111,4.550999641,GSM
bc:c0:0f:20:2e:e8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:06,9,-66,14.65921344,121.0675544,112,4.550999641,WIFI
9c:88:ad:a1:62:58,PLDTHOMEFIBRsulla,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:06,13,-87,14.65920297,121.0675155,111,4.550999641,WIFI
74:cc:39:8b:b8:28,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:06,6,-65,14.65919548,121.0674654,112,4.550999641,WIFI
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],10/28/2017 13:06,6,-75,14.65919548,121.0674654,112,4.550999641,WIFI
bc:c0:0f:20:2e:e8,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:06,9,-61,14.65919548,121.0674654,112,4.550999641,WIFI
d4:ae:05:fb:b8:fb,AndroidAP,[WPA2-PSK-CCMP][ESS],10/28/2017 13:06,6,-89,14.65919548,121.0674654,112,4.550999641,WIFI
cc:06:77:62:de:88,PLDTHOMEFIBR2de88,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:06,6,-89,14.6591976,121.0674322,112,4.550999641,WIFI
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],10/28/2017 13:06,6,-66,14.65919201,121.067333,112,4.550999641,WIFI
51502_30232_210478234,Globe,HSPA;ph,10/28/2017 13:06,0,-97,14.65919201,121.067333,112,4.550999641,GSM
00:90:0e:06:71:10,WitTEA WiFi Vendo,[ESS],10/28/2017 13:06,6,-57,14.65919372,121.0672846,112,4.550999641,WIFI
cc:06:77:6f:f3:c4,preg0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:06,36,-88,14.65920948,121.0671824,115,4.550999641,WIFI
cc:06:77:6f:f3:c0,prego,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:06,9,-83,14.65924837,121.0671526,116,4.550999641,WIFI
d4:ae:05:fb:b8:fb,AndroidAP,[WPA2-PSK-CCMP][ESS],10/28/2017 13:06,6,-83,14.65924837,121.0671526,116,4.550999641,WIFI
74:cc:39:30:b4:60,PLDTHOMEFIBR_30b460,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:06,11,-88,14.65924837,121.0671526,116,4.550999641,WIFI
00:21:29:c8:e2:1c,ERP,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:06,6,-88,14.65924837,121.0671526,116,4.550999641,WIFI
48:f8:b3:d3:91:33,PLDTFiber2F-1 (2.4Ghz),[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:06,4,-89,14.65924837,121.0671526,116,4.550999641,WIFI
60:31:97:dc:e5:74,PLDTBIZ-CKC,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:06,13,-89,14.65924837,121.0671526,116,4.550999641,WIFI
6c:3b:6b:ca:a3:ed,bnetsMesh,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:06,52,-88,14.659291,121.06712,118,4.550999641,WIFI
6c:3b:6b:ca:a5:97,bnetsMesh,[WPA-PSK-CCMP][WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:06,52,-89,14.659291,121.06712,118,4.550999641,WIFI
34:ba:9a:57:05:27,BahalaKaSaWifiMo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:06,7,-88,14.65933402,121.0671133,120,4.550999641,WIFI
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:06,5,-82,14.65942575,121.0670797,120,4.550999641,WIFI
34:ba:9a:57:05:27,BahalaKaSaWifiMo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:06,7,-81,14.65942575,121.0670797,120,4.550999641,WIFI
6c:3b:6b:ca:a0:d5,bnetsMesh,[WPA2-PSK-CCMP][WPS][ESS],10/28/2017 13:06,52,-88,14.65942575,121.0670797,120,4.550999641,WIFI
cc:06:77:6f:f3:c0,prego,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,9,-71,14.65953442,121.0670882,123,4.550999641,WIFI
d0:04:92:02:3b:a8,PLDTHOMEFIBR_023ba8,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,5,-76,14.65953442,121.0670882,123,4.550999641,WIFI
34:ba:9a:57:05:27,BahalaKaSaWifiMo,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],10/28/2017 13:07,7,-68,14.65953442,121.0670882,123,4.550999641,WIFI
cc:06:77:6f:f3:c4,preg0,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],10/28/2017 13:07,36,-73,14.65953442,121.0670882,123,4.550999641,WIFI
00:13:33:d9:60:52,PLDTHOMEDSL_SANDOVAL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],10/28/2017 13:07,11,-86,14.65953442,121.0670882,123,4.550999641,WIFI
51502_30203_210477573,Globe,HSPA;ph,10/28/2017 13:07,0,-97,14.65953442,121.0670882,123,4.550999641,GSM
