Common in ALL,133
BSSID,SSID,Wigle-Encryption,RPi-Encryption,Wigle-Channel,RPi-Channel,Wigle Avg RSSI,RPi Avg RSSI
80:29:94:68:33:f5,SKYbroadband33F2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-84,0
a4:2b:b0:f8:9e:87,PLDTHOMEDSL_AF5Y_EXT,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,11,-83,0
80:29:94:68:33:81,SKYbroadband337E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-78,0
00:13:33:ce:c7:b8,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-79,0
00:18:f8:a4:31:fb,GPF,[WPA-PSK-TKIP][ESS],WPA,11,11,-86,0
50:09:59:85:b9:e5,SKYbroadbandB9E2,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-86,0
48:00:33:f3:09:3d,SKYbroadband093A,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,0
00:1f:fb:ba:d2:8b,LynKoCus6-07,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-85,0
88:3f:d3:06:77:64,HUAWEI-68pF,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,10,-69,0
48:00:33:62:32:59,SKYbroadband3256,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,1,-78,0
58:70:c6:f7:42:4d,YICarCam_F7424D,[WPA2-PSK-CCMP][WPS][ESS],WPA2,5,6,-84,0
8c:18:d9:71:91:1b,Mitsubishi Wireless TV 908,[ESS],OPN,6,6,-82,0
50:09:59:84:f1:91,SKYbroadbandF18E,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-85,0
f6:9f:c2:57:be:90,Aralinks_Hub2,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-64,0
fc:b4:e6:82:43:85,SKYbroadbandABA4,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-88,0
4c:f9:5d:85:9a:fc,RBCTY1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-86,0
00:19:be:81:32:e2,Altai_Wifi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-78,0
f4:e3:fb:e5:49:fc,XRZ-850,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,5,-86,0
90:61:0c:16:73:f9,PLDTMyDSL,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,11,11,-72,0
bc:c0:0f:7b:d7:c0,FIBERHOME_bd7c0,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-75,0
f4:f2:6d:94:56:14,OrangeSegment1,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-77,0
e0:8e:3c:2d:fa:d5,bayanDSLWIFI_FAD5,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-76,0
80:13:82:58:e6:2c,HUAWEI-E62C,[WPA2-PSK-CCMP][ESS],WPA2,8,8,-74,0
34:ba:9a:55:c5:b6,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,4,4,-72,0
00:90:a9:0e:55:0b,CallaoMan,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-64,0
00:90:a9:10:89:7b,SunkenGalleon,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-84,0
00:90:a9:10:89:7c,GuestWiFi,[WPA2-PSK-CCMP][ESS],WPA2,6,6,-82,0
f0:98:38:07:ce:cc,HUAWEI-sJ8b,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-72,0
94:46:96:1d:46:ce,PLDTHOMEDSLUJU40,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-76,0
76:4a:a4:c9:3e:4c,CECILLE,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-78,0
cc:06:77:6f:30:40,SAIGON PHO1,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,7,7,-71,0
bc:c0:0f:7b:c2:08,FIBERHOME_bc208,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,3,7,-77,0
88:d2:74:86:c4:cb,bayanDSLWIFI_C4CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-81,0
ac:86:74:4a:09:53,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-82,0
ac:86:74:4a:09:52,CloudTrax,[ESS],OPN,5,5,-80,0
ec:8c:a2:30:ff:28,#SmartWifi @StrEATMag,[ESS],OPN,1,1,-80,0
00:13:33:ea:7b:21,trendzoneqc,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,5,5,-84,0
38:d8:2f:22:3d:48,bayanDSLWiFi_3D48,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,10,-65,0
f0:98:38:f9:14:28,Fiber200,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,3,1,-73,0
ac:f9:70:ec:e6:08,HUAWEI-7BDP,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,8,6,-74,0
cc:1a:fa:97:cf:b8,bayanDSL,[WPA-PSK-CCMP+TKIP][ESS],WPA,10,4,-64,0
9c:6f:52:34:ff:b7,Fatpipe@Moonleaf,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-66,0
70:8b:cd:b2:7b:60,Flower Poopoo :3 ,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-87,0
ba:4e:26:4c:0e:e3,,[WPA2-PSK-CCMP][ESS],WPA2,2,2,-84,0
00:e0:20:3b:00:75,Extension 3,[WPA-PSK-CCMP][WPS][ESS],WPA,6,6,-85,0
fa:8f:ca:50:af:9a,,[ESS],OPN,11,11,-84,0
cc:06:77:60:3e:98,PLDTHOMEFIBR03e98,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,1,1,-70,0
00:13:33:dc:91:af,PLDTHOMEDSLDAL1,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-70,0
00:13:33:e8:f8:31,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-88,0
cc:06:77:e1:1f:90,PLDTHOMEFIBR11f90,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-80,0
cc:06:77:22:fb:60,PLDTHOMEFIBR2fb60,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,5,5,-87,0
90:61:0c:2a:47:af,Marco,[WPA2-PSK-CCMP][WPS][ESS],WPA2,11,11,-74,0
90:61:0c:2e:d5:16,PLDTHOMEDSL54550,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-86,0
b0:c1:9e:30:5e:25,SmartBro_305E25,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-87,0
00:13:33:e3:b0:3b,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,0
00:13:33:ea:87:f5,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-80,0
00:24:01:b8:d1:9d,FRANCISCO-PC_Network,[WPA2-PSK-CCMP][WPS][ESS],WPA2,6,6,-76,0
94:46:96:18:f3:11,PLDTHOMEDSL7Y7Y0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,7,7,-84,0
e0:8e:3c:21:f2:cb,bayanDSLWIFI_F2CB,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-82,0
b0:c1:9e:49:f6:70,salt to the sea,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-84,0
00:13:33:f4:2a:f6,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,6,6,-72,0
00:1f:fb:a5:21:19,jennyjuly06,[WPA2-PSK-CCMP][WPS][ESS],WPA2,1,1,-86,0
e8:cd:2d:7f:11:4d,glyph,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,8,8,-72,0
cc:06:77:63:37:90,Estivlings,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],WPA2/WPA,4,1,-81,0
40:cb:a8:90:46:e2,Broadband@work,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,11,11,-74,0
94:46:96:0e:28:69,PLDTHOMEDSLanamaria,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,2,2,-68,0
e0:8e:3c:2f:67:01,bayanDSLWIFI_6701,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,11,-69,0
90:61:0c:35:8c:13,PLDTHOMEDSL35859,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,1,-67,0
94:46:96:1e:f1:2c,PLDTHOMEDSL2Y2Y0,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-71,0
2a:17:23:00:04:77,EVOHOTSPOT 8,[ESS],OPN,6,6,-65,0
0a:17:23:00:04:8f,EVOHOTSPOT 2,[ESS],OPN,1,1,-61,0
00:13:33:fc:69:69,PLDTHOMEDSLGRABTAPSI,[WPA2-PSK-CCMP][ESS],WPA2/WPA,11,6,-65,0
00:23:69:26:de:f7,maja,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,5,5,-81,0
e0:8e:3c:1a:e6:07,bayanDSLWIFI_E607,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,10,10,-73,0
1a:17:23:00:04:77,EVOHOTSPOT 7,[ESS],OPN,6,6,-61,0
0a:17:23:00:04:77,EVOHOTSPOT 6,[ESS],OPN,6,6,-62,0
28:ff:3e:3d:e8:19,bayanDSLWIFI_E819,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,1,10,-75,0
00:13:33:fa:e4:77,,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,1,1,-83,0
00:13:33:d4:a9:4f,PLDTHOMEDSL,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-86,0
9c:6f:52:35:1e:06,bayanDSLWIFI_1E06,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,2,2,-72,0
74:cc:39:bc:bc:a2,EDONG-EVOLUTION,[ESS],OPN,10,10,-89,0
00:13:33:fd:b7:fb,PLDTHOMEDSLLUCERO,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-84,0
08:17:23:00:04:8f,EVOHOTSPOT 1,[ESS],OPN,1,1,-36,0
1a:17:23:00:04:8f,EVOHOTSPOT 3,[ESS],OPN,1,1,-37,0
2a:17:23:00:04:8f,EVOHOTSPOT 4,[ESS],OPN,1,1,-37,0
88:d2:74:86:ac:73,bayanDSLWIFI_AC73,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],WPA2/WPA,6,6,-80,0
5a:8b:f3:70:7b:33,PLDTMyDSLBiz3,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],WPA2/WPA,11,11,-75,0
5a:8b:f3:70:7b:30,PLDTMyDSLBiz3MobileWiFi-62EA,[WPA-PSK-TKIP][WPS][ESS],WPA,11,11,-73,0
1a:17:23:00:04:39,EVOHOTSPOT 15,[ESS],OPN,11,11,-74,0
0a:17:23:00:01:4d,EVOHOTSPOT 34,[ESS],OPN,1,1,-79,0
90:61:0c:16:a8:02,PLDTMyDSL,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],WPA2/WPA,11,11,-64,0
e0:8e:3c:1a:d7:1f,Francisco,[WPA2-PSK-CCMP+TKIP][ESS],WPA2,1,1,-65,0
 
WiGLE Unique,63
BSSID,SSID,Wigle-Encryption,Wigle-Channel,Wigle Avg RSSI
51502_30232_210438649,Globe,HSPA;ph,0,-89
88:d2:74:a8:fe:54,Cradle of Learners,[WPA-PSK-CCMP+TKIP][WPS][ESS],2,-87
54:b8:0a:36:61:6c,Central,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],165,-87
51502_30232_210451840,Globe,HSPA;ph,0,-81
50:c7:bf:d8:60:70,NHA-WiFi-Guest,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],9,-87
51502_30232_210447752,Globe,HSPA;ph,0,-81
a0:ab:1b:96:58:e4,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][WPS][ESS],149,-85
a0:ab:1b:96:58:e5,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],149,-86
51502_30232_210477113,Globe,HSPA;ph,0,-95
a0:ab:1b:96:58:e2,Cumm4Me,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],36,-85
a0:ab:1b:96:58:e3,Stingray-G,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],36,-85
56:27:58:de:79:0d,Lenovo A2010-a,[WPA2-PSK-CCMP][WPS][ESS],11,-86
dc:09:4c:14:d1:b6,11,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],11,-89
