SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
PLDTHOMEDSL,00:13:33:FE:E1:B2,14.64268684,121.05739594,wpa2,infra,20161206-00000,"2016-12-05, 04:00:00 AM","2016-12-06, 03:00:00 PM","2016-12-06, 03:00:00 PM"
PLDTHOMEDSLAN,00:13:33:F1:CA:A2,14.64653969,121.06131744,wpa2,infra,20160227-00000,"2016-02-28, 04:00:00 AM","2017-03-03, 03:00:00 PM","2017-03-03, 03:00:00 PM"
PLDTHOMEDSL,00:13:33:D6:2B:CB,14.64661503,121.05751801,wpa2,infra,20160227-00000,"2016-02-14, 05:00:00 AM","2016-02-27, 03:00:00 PM","2016-02-27, 03:00:00 PM"
PLDTHOMEDSL,00:13:33:E8:F1:E7,14.64674377,121.06024933,wpa2,infra,20160227-00000,"2001-01-01, 04:00:00 PM","2017-03-03, 03:00:00 PM","2017-03-03, 03:00:00 PM"
PLDTHOMEDSL,00:13:33:DF:9B:B8,14.64651394,121.05923462,wpa2,infra,20150726-00000,"2015-07-26, 07:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
PLDTHOMEDSL,00:13:33:E1:63:DF,14.64636517,121.05954742,wpa2,infra,20150812-00000,"2015-08-13, 05:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
PLDTHOMEDSLadmin,00:13:33:EA:7B:20,14.64655399,121.05918121,wpa2,infra,20160227-00000,"2001-01-01, 04:00:00 PM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
trendzoneqc,00:13:33:EA:7B:21,14.64656258,121.0591507,wpa2,infra,20160227-00000,"2001-01-01, 04:00:00 PM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
PLDTHOMEDSL,00:13:33:EA:82:37,14.64517117,121.06093597,wpa2,infra,20161206-00000,"2016-12-05, 04:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
APF Residence,00:1A:70:6B:12:C3,14.64269161,121.05810547,none,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
DJNicdao,00:1A:70:5B:EB:19,14.64510918,121.05726624,wpa,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
PLDTSMART,00:18:25:03:49:C4,14.64660835,121.06040192,wpa2,infra,20130419-00000,"2013-04-19, 04:00:00 AM","2017-05-07, 01:00:00 PM","2017-05-07, 01:00:00 PM"
PLDTSMART,00:18:25:03:5C:A1,14.64660358,121.05908966,wpa2,infra,20130621-00000,"2013-06-12, 04:00:00 AM","2013-11-30, 09:00:00 AM","2013-11-30, 07:00:00 AM"
saugerties2,00:1B:2F:E2:2E:EC,14.64628124,121.05963898,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
CRUZ network,00:1A:EF:26:C1:A8,14.64218998,121.06047058,wpa2,infra,20130414-00000,"2013-04-14, 10:00:00 PM","2013-04-14, 02:00:00 PM","2013-04-14, 12:00:00 PM"
Theotokos,00:1A:EF:2E:06:6D,14.6466608,121.05833435,wpa2,infra,20130324-00000,"2013-03-24, 01:00:00 AM","2013-09-01, 01:00:00 AM","2013-08-31, 11:00:00 PM"
Delish,00:1A:EF:07:E1:21,14.64627552,121.05983734,wpa,infra,20130222-00000,"2013-02-23, 06:00:00 AM","2014-08-13, 01:00:00 PM","2015-07-26, 08:00:00 AM"
TROJAN VIRUS!,00:1A:EF:48:77:0B,14.64684582,121.05797577,wpa2,infra,20170303-00000,"2017-03-04, 04:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
gaeconference,00:1C:10:35:2C:0D,14.64427471,121.06108093,wpa2,infra,20130209-00000,"2013-02-10, 09:00:00 PM","2013-11-30, 09:00:00 AM","2013-11-30, 07:00:00 AM"
ginger,00:1B:11:3C:23:C1,14.64156628,121.06118011,wep,infra,20130309-00000,"2013-03-10, 02:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
unicef,00:1B:11:3C:27:E9,14.64508152,121.05726624,wpa2,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
charley,00:18:E7:E7:6D:10,14.64276505,121.05838013,wpa,infra,20130309-00000,"2013-03-10, 04:00:00 AM","2013-03-12, 12:00:00 AM","2013-03-11, 10:00:00 PM"
