GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-04-10 17:20:31,2018-04-03 15:35:28.107199,90:61:0c:2e:a7:39,PLDTHOMEDSL42809,WPA2/WPA,-82,1,FidaInte,none,14.647145,121.057463
2018-04-10 17:20:30,2018-04-03 15:35:26.891552,d0:b2:c4:57:23:67,arbalest,WPA2/WPA,-80,1,Technico,none,14.647122,121.057450
2018-04-10 17:20:48,2018-04-03 15:35:44.924063,20:25:64:cb:84:7e,979384,WPA2/WPA,-74,1,Pegatron,none,14.647785,121.057187
2018-04-10 17:20:29,2018-04-03 15:35:25.291793,00:13:33:fe:e4:28,PLDTHOMEDSL,WPA2/WPA,-85,1,Baudtec,none,14.647100,121.057438
2018-04-10 17:20:47,2018-04-03 15:35:43.671077,cc:06:77:60:54:f8,fibr1,WPA2/WPA,-71,1,Fiberhom,none,14.647733,121.057203
2018-04-10 17:20:31,2018-04-03 15:35:28.128842,90:61:0c:3a:4b:6e,PLDTHOMEDSL19310,WPA2/WPA,-78,1,FidaInte,none,14.647145,121.057463
2018-04-10 17:20:51,2018-04-03 15:35:47.636672,02:1a:11:ff:fc:f5,HUAWEI P10 Plus,WPA2,-67,1,None,none,14.647958,121.057132
2018-04-10 17:20:31,2018-04-03 15:35:27.909416,78:c1:a7:03:9e:ec,Pebble,WPA,-85,1,Zte,none,14.647145,121.057463
2018-04-10 17:20:30,2018-04-03 15:35:26.169575,90:61:0c:33:aa:70,PLDTHOMEDSL43632,WPA2/WPA,-89,1,FidaInte,none,14.647122,121.057450
2018-04-10 17:21:06,2018-04-03 15:36:03.127759,fe:ec:da:07:00:1d,HOLY FAMILY  SCHOOL QUEZON CITY,WPA2,-82,1,None,none,14.648730,121.057067
2018-04-10 17:49:21,2018-04-03 16:04:17.501161,f4:f2:6d:94:56:14,OrangeSegment1,WPA2,-83,1,Tp-LinkT,none,14.646070,121.057905
2018-04-10 18:06:30,2018-04-03 16:21:27.019335,cc:06:77:6e:c9:98,#WIP PH 1,WPA2/WPA,-60,3,Fiberhom,none,14.646315,121.058957
2018-04-10 17:20:33,2018-04-03 15:35:29.758905,cc:06:77:23:21:b0,PLDT_JOLO,WPA2/WPA,-83,4,Fiberhom,none,14.647195,121.057473
2018-04-10 17:20:35,2018-04-03 15:35:31.201763,84:16:f9:35:36:c2,Pazzo Brew Bar,WPA2,-70,5,Tp-LinkT,none,14.647232,121.057480
2018-04-10 17:20:34,2018-04-03 15:35:30.299685,1e:74:0d:02:42:c0,PLDTMyDSLBiz,WPA2/WPA,-82,4,None,none,14.647212,121.057478
2018-04-10 18:06:33,2018-04-03 16:21:29.412742,1c:74:0d:17:57:88,PLDTHOMEDSL3SQBI,WPA2/WPA,-86,4,ZyxelCom,none,14.646398,121.058987
