Total APs,5791
PLDT,1051
GPS Time,Time,MAC,SSID,Encryption,RSSI,Channel,Manufacturer,AP Type,Latitude,Longitude
2018-03-22 20:48:24.005387,2018-03-22 20:48:24.005387,38:d8:2f:1f:90:78,PLDTHOMEDSL,WPA2/WPA,-88,11,Zte,Broadband,14.651622,121.054997
2018-03-22 20:48:28.518530,2018-03-22 20:48:28.518530,94:46:96:0d:d4:1d,PLDTHOMEDSL,WPA2/WPA,-87,1,Baudtec,Broadband,14.651673,121.055027
2018-03-22 20:49:00.141562,2018-03-22 20:49:00.141562,cc:06:77:5c:87:08,PLDTHOMEFIBRc8708,WPA2/WPA,-81,9,Fiberhom,Fiber,14.651882,121.055010
2018-03-22 20:49:07.505722,2018-03-22 20:49:07.505722,94:46:96:1d:53:12,PLDTHOMEDSLCGCG0,WPA2/WPA,-91,1,Baudtec,Broadband,14.651900,121.054992
2018-03-22 20:49:09.241321,2018-03-22 20:49:09.241321,90:61:0c:2e:c9:c0,PLDTHOMEDSL51648,WPA2/WPA,-84,2,FidaInte,Broadband,14.651893,121.054993
2018-03-22 20:49:12.808274,2018-03-22 20:49:12.808274,00:13:33:f9:ea:31,PLDTHOMEDSL,WPA2/WPA,-92,4,Baudtec,Broadband,14.651897,121.055007
2018-03-22 20:49:35.591649,2018-03-22 20:49:35.591649,cc:06:77:5e:b3:50,PLDTHOMEFIBReb350,WPA2/WPA,-72,5,Fiberhom,Fiber,14.651598,121.055433
2018-03-22 21:29:25.107027,2018-03-22 21:29:25.107027,90:61:0c:40:ae:fb,PLDTHOMEDSL44795,WPA2/WPA,-67,1,FidaInte,Broadband,14.648745,121.056910
2018-03-22 20:51:06.327137,2018-03-22 20:51:06.327137,1e:74:0d:02:44:18,PLDTMyDSLBizJitters,WPA2/WPA,-86,1,None,Broadband,14.647883,121.057122
2018-03-22 20:52:02.253321,2018-03-22 20:52:02.253321,90:61:0c:1f:a2:77,PLDTHOMEDSL,WPA2/WPA,-80,11,FidaInte,Broadband,14.646705,121.057285
