SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
PLDTHOMEDSL,00:13:33:D3:C7:37,14.67218018,121.07904053,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL_STRIDE,00:13:33:F5:F7:2D,14.68037987,121.08411407,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DC:E1:E1,14.68018627,121.08403778,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:DF:A5:A4,14.67702007,121.08250427,wpa2,infra,20160505-00000,"2016-03-25, 04:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSLEXPRESSPAY,00:13:33:E5:2A:E2,14.68508148,121.08621216,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:D7:81:B5,14.6884861,121.08709717,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
default,00:0E:2E:FB:69:FF,14.68285084,121.08550262,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
PLDTHOMEDSL,00:13:33:C6:81:E3,14.68141747,121.08454132,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL_Dentacare,00:13:33:C0:93:97,14.67323112,121.08625031,wpa2,infra,20161219-00000,"2001-01-01, 04:00:00 PM","2016-12-20, 06:00:00 AM","2016-12-20, 06:00:00 AM"
PLDTHOMEDSL,00:13:33:FC:E7:40,14.67790318,121.08299255,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSLEIGENTECHCORP,00:13:33:FD:B8:64,14.68308926,121.08531189,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:F0:82:AA,14.67171574,121.07871246,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSL,00:13:33:E7:03:41,14.67912483,121.08357239,wpa2,infra,20160505-00000,"2016-03-25, 04:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTHOMEDSLBizwise,00:13:33:E9:A6:23,14.67209148,121.07897949,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
None,00:13:33:D3:C8:7C,14.68041515,121.08412933,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDT Smart WiFi Zone,00:18:25:05:ED:90,14.67479515,121.08120728,unknown,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDT Smart WiFi Zone,00:18:25:03:83:90,14.6723299,121.07956696,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
PLDT Smart WiFi Zone,00:18:25:03:8C:D0,14.67461586,121.08129883,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
GOJJLC2,00:1A:EF:26:B6:B6,14.67211437,121.07923889,wpa,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
EI 3rd Flr,00:1A:EF:2A:36:EB,14.67459202,121.08115387,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
live wire,00:1A:EF:2E:50:BC,14.68566704,121.0867691,wpa2,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
PLDTSMART,00:18:25:05:ED:94,14.67463875,121.08103943,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Trojan,00:18:39:2B:89:6A,14.69226933,121.07833099,unknown,None,20110615-00000,"2001-01-01, 08:00:00 AM","2011-06-15, 08:00:00 AM","2011-06-15, 06:00:00 AM"
Janice Wi-Fi 1,00:18:39:60:10:69,14.68267345,121.08511353,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
DREVA,00:18:E7:FD:D4:3E,14.68285084,121.08550262,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
Creative Learning Center Edufi,00:18:E7:F6:14:0E,14.68670368,121.08654785,wpa,infra,20130506-00000,"2013-05-07, 12:00:00 AM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
VIRUS!! detected!! Wifi,00:1E:2A:52:31:10,14.6764946,121.08258057,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
GOD IS GOOD,00:1A:EF:29:FC:68,14.67267704,121.08013153,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
tsunami,00:15:70:03:37:70,14.67694187,121.08228302,none,infra,20130424-00000,"2013-04-25, 01:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
tsunami,00:15:70:03:50:70,14.67629051,121.08198547,unknown,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDT Smart WiFi Zone,00:18:25:05:87:50,14.69049454,121.08700562,unknown,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
PLDTSMART,00:18:25:03:83:94,14.67189598,121.07924652,wpa2,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
net_elsie,00:1E:2A:FF:F8:70,14.690732,121.08713531,wpa2,infra,20160505-00000,"2016-03-23, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
PLDTSMART,00:18:25:03:D5:54,14.69014549,121.08702087,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Lorenzana Network,00:1C:10:C0:D5:DB,14.68225479,121.08310699,wpa,infra,20141018-00000,"2001-01-01, 04:00:00 PM","2014-10-18, 12:00:00 PM","2015-07-26, 08:00:00 AM"
Jay's Wi-Fi Network,00:1E:C2:F6:6B:C7,14.68244648,121.0850296,wpa2,infra,20140917-00000,"2001-01-01, 04:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
GOJJLC1,00:1A:EF:26:B6:9B,14.67223263,121.07924652,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
CD-R_KING_11n,00:1A:EF:2E:99:FB,14.6791029,121.08352661,wpa2,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
ACLC Commonwealth Campus,00:23:69:38:6B:06,14.68036175,121.08412933,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
HNSED052014,00:23:69:8B:94:18,14.67178535,121.07901764,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
SM_Free_WiFi,00:1F:41:28:E2:F9,14.67450714,121.07552338,none,infra,20130403-00000,"2013-04-03, 10:00:00 PM","2016-12-12, 03:00:00 AM","2017-03-06, 02:00:00 AM"
Omni Tire Center WiFi Main,00:22:B0:42:9B:41,14.67297649,121.07998657,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
Retail-Design,00:23:69:C3:C6:BC,14.67154694,121.07855225,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
HNMKTEXT,00:22:6B:69:CF:1C,14.67170525,121.07914734,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
kia diliman,00:22:6B:52:63:72,14.67394352,121.08071899,wpa,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
spearacesolutions,00:23:69:29:8B:E5,14.67265701,121.07939148,wpa,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
bugywifi,00:1F:FB:59:3D:03,14.68523312,121.0866394,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
Telkomserv,00:22:B0:44:52:B5,14.68418217,121.08600616,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
ORLITA,00:26:75:D9:07:70,14.68975067,121.08696747,wpa,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
dlink,00:24:01:DE:6F:7D,14.68356133,121.08587646,wep,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
linksys,00:1E:E5:61:45:CD,14.67461681,121.08115387,none,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
TINMARK,00:25:9C:F1:F2:26,14.67596722,121.08193207,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Bhqn-a2F6ZWx5bnZhbGVuY2lh,08:FD:0E:75:AA:13,14.68630505,121.08621216,unknown,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
dlink,00:24:01:5E:87:0A,14.67475224,121.08143616,wep,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
dlinkECE,00:24:01:5E:87:E2,14.67435932,121.08119965,wpa,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
riteproducts,00:24:01:AD:5B:19,14.67209244,121.07933807,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
HUAWEI-E5330-FB8A,24:DF:6A:6C:FB:8A,14.68041515,121.08412933,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
belkin.e88,08:86:3B:30:AE:88,14.6834116,121.08542633,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
HUAWEI-E5330-DFD3,24:DF:6A:C0:DF:D3,14.68064117,121.08422852,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
SMART BRO_d18f8,0C:37:DC:1D:18:F8,14.67981052,121.08388519,wep,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
password error18,0C:37:DC:9F:2F:1A,14.67841148,121.08338165,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
ERIANNE,0C:37:DC:CD:C3:11,14.68959045,121.08694458,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
expendables,08:63:61:CD:CA:D6,14.67331982,121.08055878,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
Jollibee-Shopwise,00:26:5A:25:4C:54,14.67705154,121.08266449,wpa2,infra,20130416-00000,"2013-04-16, 11:00:00 PM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
phil agrow,00:26:5A:43:D8:2A,14.68249798,121.08531189,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
GL01P-20F3A38CC6A3,20:F3:A3:8C:C6:A3,14.67477131,121.08142853,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
katangahan999,02:0A:00:C4:DB:25,14.68110466,121.0776062,wpa2,infra,20150808-00000,"2001-01-01, 04:00:00 PM","2015-09-20, 08:00:00 AM","2015-09-20, 08:00:00 AM"
ecosys 2,20:AA:4B:05:58:E0,14.68260765,121.0853653,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
B315_E562B,04:02:1F:4E:56:2B,14.690732,121.08713531,wpa2,infra,20160505-00000,"2016-03-23, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
LoyolaRelay,04:18:D6:94:6D:4B,14.67378616,121.07997131,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
DIRECT-eeC410 Series,32:CD:A7:2F:5C:14,14.68636703,121.08676147,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
hpsetup,2E:26:55:68:FC:F4,14.68539333,121.07978821,none,ad-hoc,20130817-00000,"2001-01-01, 04:00:00 PM","2013-08-17, 11:00:00 AM","2013-11-30, 07:00:00 AM"
linksys,00:27:19:D2:48:56,14.67420959,121.08091736,wpa2,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
loyolacares,06:27:22:5B:BE:E7,14.67378616,121.07997131,none,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
awn_inside,34:A8:4E:1E:15:A0,14.68140888,121.0847702,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
awn_guest,34:A8:4E:1E:42:C3,14.67925167,121.08467102,unknown,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2014-09-17, 06:00:00 PM","2015-07-26, 08:00:00 AM"
awn_cafe,34:A8:4E:1E:48:E4,14.68126011,121.08482361,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
awn_inside,34:A8:4E:80:A6:A0,14.68133163,121.08467102,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
awn_cafe,34:A8:4E:80:A6:A4,14.68122387,121.08466339,wpa2,infra,20140917-00000,"2014-09-17, 05:00:00 AM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
awn_guest,34:A8:4E:80:A6:AC,14.68175983,121.08473969,unknown,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
....bobby....,02:23:B1:5F:69:4C,14.67948151,121.08355713,wpa,infra,20130507-00000,"2013-05-08, 12:00:00 AM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
awn_guest,34:A8:4E:D2:4F:43,14.68117428,121.08447266,unknown,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
HUAWEI-E5330-7AAC,24:1F:A0:4E:7A:AC,14.672822,121.07938385,wpa2,infra,20160320-00000,"2001-01-01, 04:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
chester,02:0C:E7:90:3C:76,14.67831039,121.08306122,wpa2,infra,20150126-00000,"2015-01-27, 06:00:00 AM","2015-01-26, 03:00:00 PM","2015-07-26, 08:00:00 AM"
Free Public WiFi,02:11:87:D5:92:16,14.6751709,121.08168793,none,ad-hoc,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
BeruBeru,22:26:B6:C8:3B:B5,14.67902279,121.08379364,wpa2,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
adie,10:D3:8A:20:60:10,14.6765337,121.08226013,wpa2,infra,20160505-00000,"2016-03-21, 05:00:00 PM","2016-05-05, 06:00:00 PM","2016-05-05, 06:00:00 PM"
MobileWiFi-4b43,0C:37:DC:4F:4B:43,14.67800808,121.082901,wpa2,infra,20130424-00000,"2013-04-25, 01:00:00 AM","2013-05-07, 02:00:00 PM","2013-05-07, 12:00:00 PM"
MobileWiFi-046a,0C:37:DC:29:04:6A,14.68661308,121.08674622,wpa2,infra,20130506-00000,"2013-05-07, 12:00:00 AM","2013-05-06, 05:00:00 PM","2013-05-06, 03:00:00 PM"
SMART BRO_6BE25,0C:37:DC:C6:BE:25,14.68076324,121.08454895,wep,infra,20130416-00000,"2013-04-16, 09:00:00 PM","2013-04-17, 05:00:00 AM","2013-04-17, 03:00:00 AM"
