Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
f4:f2:6d:94:56:14,7,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
fc:3f:7c:32:cf:3c,1,"03/14/2018,"
34:ba:9a:55:c5:b6,12,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
94:46:96:17:00:3d,6,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
1c:74:0d:17:57:88,8,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
00:13:33:ea:7b:21,11,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:5c:bd:58,13,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
f0:98:38:07:78:bc,10,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
fa:96:95:3f:2d:e2,1,"03/22/2018,"
34:ba:9a:57:83:20,1,"03/22/2018,"
0c:f4:d5:15:99:28,9,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
ec:8c:a2:30:ff:28,3,"03/22/2018, 04/02/2018, 04/05/2018,"
a0:8d:16:aa:e4:58,1,"03/22/2018,"
34:ba:9a:57:74:e4,1,"03/22/2018,"
bc:c0:0f:1e:90:90,1,"03/22/2018,"
cc:06:77:6e:c9:98,3,"03/22/2018, 04/03/2018,"
2c:26:c5:1e:b3:c4,1,"03/22/2018,"
cc:06:77:62:c4:a8,1,"03/22/2018,"
00:90:a9:0e:55:0b,4,"03/22/2018, 04/05/2018,"
00:21:29:9d:a8:2f,4,"03/22/2018, 04/03/2018, 04/05/2018,"
00:13:33:e1:63:df,2,"03/22/2018, 04/05/2018,"
14:b7:f8:62:6d:80,1,"04/02/2018,"
90:61:0c:33:a6:ea,8,"04/02/2018, 04/03/2018, 04/05/2018,"
78:c1:a7:03:9e:ec,5,"04/02/2018, 04/03/2018, 04/05/2018,"
fc:b4:e6:82:41:8f,1,"04/02/2018,"
34:97:f6:5d:3b:d8,6,"04/02/2018, 04/03/2018, 04/05/2018,"
36:69:87:a1:89:8f,2,"04/02/2018, 04/05/2018,"
82:2a:a8:41:e8:2a,1,"04/02/2018,"
92:2a:a8:41:e8:2a,1,"04/02/2018,"
90:61:0c:39:f2:a4,1,"04/02/2018,"
74:cc:39:97:e5:68,2,"04/02/2018, 04/05/2018,"
cc:06:77:21:70:80,6,"04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:60:c6,3,"04/02/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:4c:43,6,"04/02/2018, 04/03/2018, 04/05/2018,"
38:46:08:f3:47:24,5,"04/02/2018, 04/05/2018,"
00:13:33:ea:7b:20,8,"04/02/2018, 04/03/2018, 04/05/2018,"
00:90:a9:10:89:7b,3,"04/02/2018, 04/03/2018, 04/05/2018,"
a6:f1:e8:e1:f3:89,1,"04/02/2018,"
f0:98:38:a0:02:64,1,"04/02/2018,"
f0:98:38:07:9c:34,5,"04/02/2018, 04/05/2018,"
5c:f2:86:24:56:fe,1,"04/02/2018,"
00:90:a9:10:89:7c,3,"04/02/2018, 04/03/2018, 04/05/2018,"
f2:9f:c2:4f:fc:46,1,"04/02/2018,"
90:b6:86:36:f1:4f,1,"04/02/2018,"
cc:06:77:d8:00:a0,2,"04/02/2018, 04/03/2018,"
5c:6a:80:a3:6f:2b,9,"04/02/2018, 04/03/2018, 04/05/2018,"
5c:f2:86:24:21:32,1,"04/02/2018,"
34:ba:9a:56:0e:b5,1,"04/02/2018,"
bc:c0:0f:7b:db:c0,3,"04/03/2018, 04/05/2018,"
c8:93:46:48:4c:7f,4,"04/03/2018, 04/05/2018,"
c8:93:46:48:70:90,5,"04/03/2018, 04/05/2018,"
88:d2:74:86:cf:41,9,"04/03/2018, 04/05/2018,"
5c:f2:86:2e:48:9e,2,"04/03/2018,"
fa:da:0c:3b:89:cd,3,"04/03/2018, 04/05/2018,"
f0:98:38:07:ce:cc,4,"04/03/2018, 04/05/2018,"
34:ba:9a:56:97:5d,1,"04/03/2018,"
58:70:c6:f4:f4:8f,1,"04/03/2018,"
14:b7:f8:64:5d:e0,3,"04/03/2018, 04/05/2018,"
d2:b1:28:50:83:3f,1,"04/03/2018,"
c8:93:46:47:ad:f2,6,"04/03/2018, 04/05/2018,"
f2:9f:c2:27:9d:b9,7,"04/03/2018, 04/05/2018,"
02:9f:c2:27:9d:b9,6,"04/03/2018, 04/05/2018,"
e4:7d:eb:0f:16:e7,8,"04/03/2018, 04/05/2018,"
c8:93:46:48:50:5b,4,"04/03/2018, 04/05/2018,"
f0:9f:c2:27:9d:b9,7,"04/03/2018, 04/05/2018,"
c8:93:46:48:4c:ae,5,"04/03/2018, 04/05/2018,"
08:95:2a:89:35:37,1,"04/03/2018,"
f2:9f:c2:91:17:d9,1,"04/03/2018,"
ac:cf:85:b9:ee:09,2,"04/03/2018,"
d4:a1:48:6e:37:88,5,"04/03/2018, 04/05/2018,"
4c:81:20:f3:97:9b,5,"04/03/2018, 04/05/2018,"
a0:8d:16:68:5e:52,2,"04/03/2018,"
f0:98:38:72:b5:48,1,"04/03/2018,"
80:2a:a8:41:e9:d6,4,"04/03/2018, 04/05/2018,"
82:2a:a8:41:e9:d6,5,"04/03/2018, 04/05/2018,"
76:e4:3a:7a:e4:01,1,"04/03/2018,"
cc:06:77:23:21:b0,6,"04/03/2018, 04/05/2018,"
a4:2b:b0:d9:10:26,5,"04/03/2018, 04/05/2018,"
1a:74:2e:bc:c2:22,6,"04/03/2018, 04/05/2018,"
fe:a6:67:54:8e:71,5,"04/03/2018, 04/05/2018,"
92:2a:a8:41:e9:d6,3,"04/03/2018, 04/05/2018,"
f4:e3:fb:e5:49:fc,2,"04/03/2018, 04/05/2018,"
00:26:75:f6:01:38,1,"04/03/2018,"
00:13:33:db:90:5c,4,"04/03/2018, 04/05/2018,"
60:31:97:dc:e7:f0,4,"04/03/2018, 04/05/2018,"
28:92:4a:14:9f:84,3,"04/03/2018, 04/05/2018,"
ec:9b:f3:61:a9:2f,1,"04/03/2018,"
14:ab:f0:4d:9d:80,4,"04/03/2018, 04/05/2018,"
c8:93:46:cc:21:da,1,"04/03/2018,"
ee:1d:7f:a1:35:10,3,"04/05/2018,"
f2:c1:f1:0f:cf:2d,1,"04/05/2018,"
90:61:0c:16:73:f9,1,"04/05/2018,"
78:c1:a7:24:a1:8e,2,"04/05/2018,"
fc:b4:e6:82:30:f0,1,"04/05/2018,"
3a:f7:3d:af:9d:04,1,"04/05/2018,"
00:24:a5:d7:87:d3,1,"04/05/2018,"
48:00:33:a7:e7:a1,2,"04/05/2018,"
84:1b:5e:76:29:70,2,"04/05/2018,"
78:c1:a7:23:48:66,3,"04/05/2018,"
36:69:87:e8:47:ae,1,"04/05/2018,"
c8:93:46:48:56:58,3,"04/05/2018,"
28:92:4a:14:56:1c,1,"04/05/2018,"
f4:cb:52:47:74:6b,1,"04/05/2018,"
d0:ff:98:19:92:3c,1,"04/05/2018,"
76:4a:a4:c9:4c:1c,2,"04/05/2018,"
c0:21:0d:b3:51:50,1,"04/05/2018,"
74:cc:39:86:00:88,1,"04/05/2018,"
c8:93:46:cc:21:05,1,"04/05/2018,"
5c:f2:86:24:11:d6,1,"04/05/2018,"
""
Box no.,Total APs
12,100
MAC,Persistence,Dates Seen
34:ba:9a:55:c5:b6,10,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
94:46:96:17:00:3d,12,"03/14/2018, 04/03/2018, 04/05/2018,"
00:90:a9:10:89:7c,6,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
0c:f4:d5:15:99:28,5,"03/14/2018, 04/03/2018, 04/05/2018,"
bc:c0:0f:1e:90:90,1,"03/14/2018,"
ec:8c:a2:30:ff:28,13,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
00:90:a9:10:89:7b,6,"03/14/2018, 04/05/2018, 04/10/2018,"
f0:98:38:07:78:bc,5,"03/14/2018, 04/03/2018, 04/05/2018,"
f0:98:38:07:ce:cc,5,"03/14/2018, 04/02/2018, 04/05/2018,"
cc:79:cf:f2:f2:15,1,"03/14/2018,"
7c:11:cb:6e:fe:af,3,"03/14/2018, 04/05/2018,"
44:6e:e5:5b:48:82,2,"03/14/2018, 04/05/2018,"
1c:74:0d:17:57:88,7,"03/14/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
00:90:a9:0e:55:0b,9,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
fc:3f:7c:21:c4:5f,1,"03/14/2018,"
00:21:29:9d:a8:2f,10,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
00:13:33:df:9b:b8,8,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
f0:98:38:a0:02:64,11,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
2c:26:c5:1e:b3:c4,3,"03/14/2018, 03/22/2018, 04/02/2018,"
f0:98:38:72:b5:48,7,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
b6:4e:26:4c:12:53,3,"03/14/2018, 03/22/2018, 04/05/2018,"
00:13:33:e1:63:df,9,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
00:90:a9:10:93:eb,6,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
14:b7:f8:0b:44:97,3,"03/14/2018, 04/02/2018, 04/03/2018,"
90:61:0c:11:8d:26,5,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
ee:1d:7f:a1:32:b7,7,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
48:00:33:a7:e7:a1,10,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
e0:8e:3c:2d:fa:d5,11,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
b4:2a:0e:29:fe:25,13,"03/14/2018, 03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
36:69:87:72:1d:a3,1,"03/14/2018,"
94:46:96:1d:46:ce,3,"03/14/2018, 04/05/2018,"
50:c7:bf:7a:fc:16,4,"03/14/2018, 04/05/2018, 04/10/2018,"
36:69:87:c0:03:0d,1,"03/14/2018,"
fc:3f:7c:32:cf:3c,1,"03/14/2018,"
e0:8e:3c:19:9c:bb,7,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:6e:c9:98,6,"03/22/2018, 04/03/2018, 04/10/2018,"
ba:4e:26:4c:12:53,2,"03/22/2018, 04/05/2018,"
30:b5:c2:b5:33:12,1,"03/22/2018,"
14:b7:f8:64:5d:e0,10,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
00:13:33:ea:7b:21,11,"03/22/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
90:61:0c:37:67:ff,1,"03/22/2018,"
8c:68:c8:c0:0f:ae,4,"03/22/2018, 04/03/2018, 04/05/2018,"
5c:f2:86:24:21:32,1,"04/02/2018,"
e4:7d:eb:0f:16:e7,2,"04/02/2018, 04/03/2018,"
4c:81:20:f3:97:9b,4,"04/02/2018, 04/03/2018, 04/05/2018,"
d4:a1:48:6e:37:88,9,"04/02/2018, 04/03/2018, 04/05/2018,"
88:d2:74:86:cf:41,5,"04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:e1:80:f8,3,"04/02/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:d3:09,6,"04/02/2018, 04/03/2018, 04/05/2018,"
00:13:33:db:90:5c,3,"04/02/2018, 04/05/2018,"
cc:06:77:21:70:80,4,"04/02/2018, 04/03/2018, 04/05/2018,"
8e:79:67:36:c7:c9,1,"04/02/2018,"
14:ab:f0:4c:c1:b0,7,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
f4:f2:6d:94:56:14,2,"04/02/2018, 04/05/2018,"
cc:06:77:6f:30:40,6,"04/02/2018, 04/03/2018, 04/05/2018,"
34:ba:9a:56:97:5d,1,"04/03/2018,"
90:61:0c:33:a6:ea,2,"04/03/2018, 04/05/2018,"
06:d6:aa:57:4f:45,1,"04/03/2018,"
d4:6e:5c:95:f0:22,1,"04/03/2018,"
70:5a:9e:84:02:80,1,"04/03/2018,"
d0:65:ca:b6:ac:93,1,"04/03/2018,"
00:26:75:f7:27:a0,2,"04/03/2018, 04/05/2018,"
00:13:33:ea:7b:20,11,"04/03/2018, 04/05/2018, 04/10/2018,"
58:70:c6:f4:f4:8f,1,"04/03/2018,"
5c:f2:86:2e:48:9e,1,"04/03/2018,"
cc:06:77:23:21:b0,3,"04/03/2018, 04/05/2018, 04/10/2018,"
78:c1:a7:24:a1:8e,3,"04/03/2018, 04/05/2018,"
00:13:33:e1:7d:fc,2,"04/03/2018, 04/05/2018,"
ac:cf:85:b9:ee:09,1,"04/03/2018,"
1c:74:0d:17:c9:a0,2,"04/03/2018, 04/05/2018,"
34:97:f6:5d:3b:d8,2,"04/03/2018, 04/05/2018,"
28:9a:fa:47:44:f8,1,"04/03/2018,"
90:61:0c:2d:88:5b,2,"04/05/2018,"
90:61:0c:16:73:f9,1,"04/05/2018,"
38:46:08:f3:47:24,5,"04/05/2018,"
00:0e:c6:01:96:41,1,"04/05/2018,"
70:28:8b:83:bd:02,1,"04/05/2018,"
26:18:1d:00:57:61,2,"04/05/2018,"
f0:9f:c2:27:9d:b9,1,"04/05/2018,"
50:09:59:83:80:35,1,"04/05/2018,"
48:f8:b3:0f:d9:65,3,"04/05/2018,"
62:fe:1e:94:4d:14,1,"04/05/2018,"
aa:a6:68:d4:c4:35,1,"04/05/2018,"
b0:c1:9e:30:5e:25,3,"04/05/2018,"
00:13:33:ee:be:a2,1,"04/05/2018,"
18:a3:e8:1e:a2:10,2,"04/05/2018,"
e4:7d:eb:10:14:d2,2,"04/05/2018,"
b0:4e:26:4c:12:53,1,"04/05/2018,"
70:5a:9e:92:6f:f4,1,"04/05/2018,"
d0:ff:98:19:92:3c,1,"04/05/2018,"
5c:6a:80:1a:25:c6,1,"04/05/2018,"
bc:c0:0f:7b:d7:c0,1,"04/05/2018,"
fc:3f:7c:6b:52:17,1,"04/05/2018,"
f0:98:38:07:a6:4c,1,"04/05/2018,"
94:44:52:c2:20:9b,1,"04/05/2018,"
dc:09:4c:9a:74:29,1,"04/05/2018,"
cc:06:77:d8:00:a0,1,"04/05/2018,"
bc:98:89:9c:f0:e0,1,"04/05/2018,"
58:70:c6:f5:f0:5e,1,"04/10/2018,"
bc:c0:0f:7b:94:f0,1,"04/10/2018,"
""
Box no.,Total APs
13,99
MAC,Persistence,Dates Seen
fc:3f:7c:32:cf:3c,1,"03/14/2018,"
f0:98:38:07:ce:cc,9,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
94:46:96:17:00:3d,5,"03/14/2018, 04/02/2018, 04/03/2018,"
1c:74:0d:17:c9:a0,3,"03/14/2018, 04/05/2018,"
ec:8c:a2:30:ff:28,7,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
00:90:a9:10:89:7b,10,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
0c:f4:d5:15:99:28,7,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:79:cf:f2:f2:15,1,"03/14/2018,"
00:90:a9:10:89:7c,11,"03/14/2018, 04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
f0:98:38:72:b5:48,8,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
14:ab:f0:4c:c1:b0,5,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
b4:2a:0e:29:fe:25,5,"04/02/2018, 04/03/2018, 04/05/2018,"
8e:79:67:36:c7:c9,1,"04/02/2018,"
48:00:33:a7:e7:a1,6,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
cc:06:77:21:70:80,3,"04/02/2018, 04/03/2018, 04/10/2018,"
50:c7:bf:7a:fc:16,3,"04/02/2018, 04/03/2018,"
00:13:33:ea:7b:20,11,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
8c:4c:ad:02:57:4a,1,"04/02/2018,"
00:13:33:ea:7b:21,12,"04/02/2018, 04/03/2018, 04/05/2018, 04/10/2018,"
50:68:0a:c4:fc:88,3,"04/02/2018, 04/03/2018,"
90:b6:86:36:f1:4f,1,"04/02/2018,"
f0:98:38:a0:02:64,7,"04/02/2018, 04/03/2018, 04/05/2018,"
90:06:28:79:65:83,1,"04/02/2018,"
34:8a:7b:39:42:c2,1,"04/02/2018,"
cc:06:77:6e:cf:08,2,"04/02/2018, 04/03/2018,"
5c:f2:86:24:21:32,1,"04/02/2018,"
34:ba:9a:56:da:f3,1,"04/02/2018,"
ba:4e:26:4c:12:53,5,"04/02/2018, 04/03/2018, 04/05/2018,"
00:13:33:e1:63:df,8,"04/02/2018, 04/03/2018, 04/05/2018,"
b6:4e:26:4c:12:53,2,"04/02/2018, 04/03/2018,"
94:46:96:1d:46:ce,7,"04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:62:c4:a8,5,"04/02/2018, 04/03/2018,"
70:5a:9e:84:02:80,5,"04/02/2018, 04/03/2018,"
14:b7:f8:0b:38:33,4,"04/02/2018, 04/03/2018,"
d4:a1:48:6e:37:88,5,"04/02/2018, 04/05/2018, 04/10/2018,"
b6:4e:26:4c:0f:dd,1,"04/02/2018,"
c0:56:27:90:c5:57,2,"04/02/2018, 04/03/2018,"
b0:4e:26:4c:12:53,3,"04/02/2018, 04/03/2018,"
e0:8e:3c:2d:fa:d5,4,"04/03/2018, 04/05/2018,"
d0:65:ca:b6:ac:93,1,"04/03/2018,"
6a:fb:7e:a6:da:7b,1,"04/03/2018,"
cc:06:77:6f:30:40,2,"04/03/2018, 04/05/2018,"
1c:74:0d:17:57:88,3,"04/03/2018, 04/05/2018,"
d2:b1:28:50:83:3f,2,"04/03/2018,"
bc:c0:0f:7b:c2:08,3,"04/03/2018, 04/05/2018,"
14:b7:f8:64:5d:e0,7,"04/03/2018, 04/05/2018,"
5c:f2:86:2e:48:9e,1,"04/03/2018,"
cc:06:77:d8:00:a0,1,"04/03/2018,"
34:ba:9a:56:97:5d,1,"04/03/2018,"
a0:8d:16:68:5e:52,2,"04/03/2018,"
e4:7d:eb:10:14:d2,6,"04/03/2018, 04/05/2018, 04/10/2018,"
34:ba:9a:55:c5:b6,3,"04/03/2018, 04/05/2018,"
94:a7:b7:26:4d:f6,3,"04/03/2018, 04/05/2018,"
58:70:c6:f4:f4:8f,1,"04/03/2018,"
74:cc:39:bb:7e:50,1,"04/03/2018,"
74:cc:39:bb:51:38,2,"04/03/2018,"
bc:98:89:9c:f0:e0,2,"04/03/2018, 04/05/2018,"
00:13:33:df:9b:b8,7,"04/03/2018, 04/05/2018, 04/10/2018,"
00:21:29:9d:a8:2f,6,"04/03/2018, 04/05/2018,"
00:90:a9:0e:55:0b,7,"04/03/2018, 04/05/2018, 04/10/2018,"
00:90:a9:10:93:eb,2,"04/03/2018,"
50:09:59:83:80:35,2,"04/03/2018,"
50:09:59:85:c1:e9,1,"04/03/2018,"
ee:1d:7f:a1:32:b7,2,"04/03/2018, 04/05/2018,"
cc:06:77:6e:c9:98,2,"04/03/2018,"
ac:cf:85:b9:ee:09,1,"04/03/2018,"
e0:8e:3c:19:9c:bb,2,"04/03/2018, 04/05/2018,"
7c:11:cb:6e:fe:af,1,"04/03/2018,"
ba:4e:26:4c:0f:dd,1,"04/03/2018,"
e4:7d:eb:03:22:2c,1,"04/03/2018,"
90:61:0c:11:8d:26,1,"04/03/2018,"
70:5a:9e:92:6f:f4,1,"04/03/2018,"
5c:6a:80:1a:25:c6,2,"04/03/2018, 04/05/2018,"
00:26:75:f7:27:a0,4,"04/03/2018, 04/05/2018,"
f0:98:38:3e:1f:34,1,"04/03/2018,"
76:4a:a4:cd:f4:40,1,"04/03/2018,"
5c:f2:86:23:5b:d8,1,"04/03/2018,"
26:18:1d:00:57:61,1,"04/05/2018,"
bc:c0:0f:7b:94:f0,2,"04/05/2018,"
70:28:8b:83:bd:02,1,"04/05/2018,"
b0:c1:9e:30:5e:25,4,"04/05/2018,"
90:61:0c:2d:d3:09,1,"04/05/2018,"
18:de:d7:34:48:5c,1,"04/05/2018,"
aa:a6:68:7a:65:68,1,"04/05/2018,"
00:0e:c6:01:96:41,1,"04/05/2018,"
14:b7:f8:65:0f:14,1,"04/05/2018,"
88:d2:74:86:cf:41,1,"04/05/2018,"
22:cd:fe:bf:10:1d,1,"04/05/2018,"
ee:1d:7f:64:87:37,1,"04/05/2018,"
c0:21:0d:b3:51:50,1,"04/05/2018,"
dc:09:4c:9a:74:29,1,"04/05/2018,"
38:46:08:f3:47:24,1,"04/05/2018,"
44:6e:e5:5b:48:82,1,"04/05/2018,"
cc:06:77:e1:80:f8,1,"04/05/2018,"
58:70:c6:f5:f0:5e,1,"04/10/2018,"
7a:88:6d:34:6b:15,1,"04/10/2018,"
b0:c1:9e:49:fa:1d,1,"04/10/2018,"
34:ba:9a:57:06:7b,1,"04/10/2018,"
2c:26:c5:1e:b3:c4,1,"04/10/2018,"
""
Box no.,Total APs
14,11
MAC,Persistence,Dates Seen
ba:4e:26:4c:12:53,1,"04/02/2018,"
b0:4e:26:4c:12:53,1,"04/02/2018,"
b6:4e:26:4c:12:53,1,"04/02/2018,"
94:46:96:1d:46:ce,1,"04/02/2018,"
70:5a:9e:84:02:80,1,"04/02/2018,"
94:a7:b7:26:4d:f6,1,"04/02/2018,"
c0:56:27:90:c5:57,1,"04/02/2018,"
c0:bd:d1:2d:5a:2b,1,"04/02/2018,"
cc:06:77:62:c4:a8,1,"04/02/2018,"
b6:4e:26:4c:0f:dd,1,"04/02/2018,"
14:b7:f8:0b:38:33,1,"04/02/2018,"
""
Box no.,Total APs
15,0
MAC,Persistence,Dates Seen
""
Box no.,Total APs
16,8
MAC,Persistence,Dates Seen
cc:79:cf:2d:e8:9b,1,"04/02/2018,"
f0:98:38:3e:25:fc,1,"04/02/2018,"
aa:a6:68:58:ca:c4,1,"04/02/2018,"
00:24:01:b8:d1:9d,1,"04/02/2018,"
0c:f4:d5:15:99:28,1,"04/02/2018,"
cc:06:77:63:37:90,1,"04/02/2018,"
74:cc:39:bb:7e:50,1,"04/02/2018,"
5c:f2:86:24:21:32,1,"04/02/2018,"
""
Box no.,Total APs
17,38
MAC,Persistence,Dates Seen
ba:4e:26:4c:12:53,1,"04/05/2018,"
b6:4e:26:4c:0e:e3,1,"04/05/2018,"
00:13:33:e3:b0:3b,1,"04/05/2018,"
00:13:33:ea:87:f5,1,"04/05/2018,"
b6:4e:26:4c:12:53,1,"04/05/2018,"
ba:4e:26:4c:0e:e3,1,"04/05/2018,"
b0:4e:26:4c:0e:e3,1,"04/05/2018,"
88:d2:74:86:d2:0f,1,"04/05/2018,"
c0:7e:40:73:20:c4,1,"04/05/2018,"
00:13:33:cf:5e:f8,1,"04/05/2018,"
90:61:0c:2e:d5:16,1,"04/05/2018,"
18:a6:f7:8e:ef:ac,1,"04/05/2018,"
e0:8e:3c:22:44:ab,1,"04/05/2018,"
dc:ee:06:45:dd:c9,1,"04/05/2018,"
f0:98:38:3e:25:fc,1,"04/05/2018,"
cc:06:77:e0:7c:90,1,"04/05/2018,"
bc:c0:0f:7b:94:f0,1,"04/05/2018,"
0c:f4:d5:15:99:28,1,"04/05/2018,"
00:24:01:b8:d1:9d,1,"04/05/2018,"
6a:e9:f1:8b:12:34,1,"04/05/2018,"
0e:41:58:00:9f:ef,1,"04/05/2018,"
14:b7:f8:64:5d:e0,1,"04/05/2018,"
94:46:96:20:6a:43,1,"04/05/2018,"
cc:06:77:63:37:90,1,"04/05/2018,"
34:ba:9a:55:b6:dd,1,"04/05/2018,"
00:1f:fb:a5:21:19,1,"04/05/2018,"
e0:8e:3c:22:1c:23,1,"04/05/2018,"
88:d2:74:86:b6:5a,1,"04/05/2018,"
00:13:33:e8:f4:df,1,"04/05/2018,"
48:00:33:a7:e7:a1,1,"04/05/2018,"
00:13:33:fa:e4:77,1,"04/05/2018,"
e0:8e:3c:21:f2:cb,1,"04/05/2018,"
90:61:0c:2e:02:f3,1,"04/05/2018,"
4c:5e:0c:a2:0c:3b,1,"04/05/2018,"
4e:5e:0c:a2:0c:3b,1,"04/05/2018,"
5c:c3:07:28:22:c7,1,"04/05/2018,"
90:61:0c:2e:02:f4,1,"04/05/2018,"
90:61:0c:41:05:05,1,"04/05/2018,"
""
Box no.,Total APs
18,68
MAC,Persistence,Dates Seen
94:46:96:19:2a:e3,10,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
08:10:74:62:0f:1e,7,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
cc:06:77:23:06:e8,6,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
cc:06:77:5e:61:e8,1,"03/22/2018,"
88:3f:d3:06:4e:d0,3,"03/22/2018, 04/05/2018, 04/10/2018,"
cc:06:77:5c:bd:58,1,"03/22/2018,"
a0:b3:cc:d7:20:a0,1,"03/22/2018,"
7c:c7:09:29:93:5e,1,"03/22/2018,"
ac:e8:7b:3d:3d:32,1,"03/22/2018,"
bc:c0:0f:7b:d7:c0,2,"03/22/2018, 04/05/2018,"
bc:c0:0f:7b:d7:08,6,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
bc:c0:0f:1f:f2:20,5,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
00:13:33:ef:dd:be,5,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
00:13:33:ef:dd:bf,5,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
bc:c0:0f:7b:54:48,1,"03/22/2018,"
00:13:33:d6:2b:cb,8,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
00:26:75:e3:d1:40,4,"03/22/2018, 04/02/2018, 04/05/2018,"
00:13:33:d3:4b:09,2,"03/22/2018, 04/05/2018,"
c8:93:46:48:60:c6,1,"03/22/2018,"
c0:a0:bb:12:90:a4,4,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
fc:8b:97:27:88:8b,1,"03/22/2018,"
48:00:33:fc:49:f3,2,"03/22/2018, 04/10/2018,"
70:5a:9e:da:5e:65,4,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
fc:b4:e6:a9:13:b8,2,"03/22/2018, 04/10/2018,"
1e:74:0d:02:42:c0,4,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
e0:8e:3c:2f:3e:6d,10,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
b0:5a:da:74:00:d0,1,"03/22/2018,"
bc:c0:0f:7b:74:00,2,"03/22/2018, 04/02/2018,"
5c:54:6d:43:78:9c,9,"03/22/2018, 04/02/2018, 04/05/2018, 04/10/2018,"
18:a6:f7:27:bc:cc,1,"03/22/2018,"
bc:c0:0f:1e:d4:08,1,"03/22/2018,"
78:c1:a7:01:f8:b0,6,"04/02/2018, 04/05/2018, 04/10/2018,"
90:61:0c:3a:4b:6e,1,"04/02/2018,"
dc:ee:06:cf:a4:74,1,"04/02/2018,"
60:38:e0:3b:bc:72,1,"04/02/2018,"
34:ba:9a:4f:ff:fc,1,"04/02/2018,"
58:70:c6:f7:94:ad,1,"04/02/2018,"
28:ff:3e:3d:dd:31,3,"04/02/2018, 04/05/2018,"
bc:c0:0f:20:1b:00,2,"04/02/2018, 04/05/2018,"
36:69:87:06:8f:d0,2,"04/02/2018, 04/05/2018,"
